,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BRCM,CA,CELG,CERN,CHKP,CHRW,CHTR,CMCSA,COST,CSCO,CTRX,CTSH,CTXS,DISCA,DISH,DLTR,DTV,EBAY,EQIX,ESRX,EXPD,EXPE,FAST,FB,FFIV,FISV,GILD,GMCR,GOOG,GRMN,HSIC,ILMN,INTC,INTU,ISRG,KLAC,KRFT,LBTYA,LINTA,LLTC,LMCA,MAR,MAT,MNST,MSFT,MU,MWW,MXIM,MYL,NFLX,NTAP,NVDA,NWSA,NXPI,ORLY,PAYX,PCAR,PCLN,QCOM,REGN,ROST,SBAC,SBUX,SIAL,SIRI,SNDK,SPLS,SRCL,STX,SYMC,TRIP,TSCO,TSLA,TXN,VIAB,VIP,VOD,VRSK,VRTX,WDC,WFM,WYNN,XLNX,YHOO
AMZN,0.846153846,0.897435897,0.752136752,0.615384615,0.897435897,0.965811966,0.905982906,0.982905983,0.769230769,0.88034188,1,0.88034188,0.717948718,0.803418803,0.948717949,0.863247863,0.974358974,0.846153846,0.162393162,0.871794872,0.991452991,0.239316239,0.991452991,0.735042735,0.846153846,0.914529915,0.837606838,0.982905983,0.957264957,0.923076923,0.88034188,0.974358974,0.923076923,0.991452991,0.965811966,0.931623932,0.871794872,0.94017094,0.769230769,0.914529915,0.982905983,0.914529915,0.948717949,0.888888889,0.965811966,0.957264957,0.47008547,0.965811966,0.777777778,0.905982906,0.991452991,0.974358974,0.846153846,0.905982906,0.581196581,0.888888889,0.581196581,0.991452991,0.581196581,0.495726496,0.837606838,0.863247863,0.931623932,0.905982906,0.717948718,0.974358974,0.982905983,0.991452991,0.871794872,0.897435897,0.683760684,0.803418803,0.239316239,0.974358974,0.923076923,0.948717949,0.991452991,0.957264957,0.803418803,0.837606838,0.965811966,0.948717949,0.931623932,0.957264957,0.871794872,0.897435897,0.948717949,0.358974359,0.923076923,0.632478632,0.897435897,0.982905983,0.974358974,0.803418803,0.957264957,0.794871795,0.88034188,0.931623932,0.914529915,0.991452991
ATVI,0.726495726,0.777777778,0.632478632,0.495726496,0.777777778,0.914529915,0.786324786,0.863247863,0.64957265,0.760683761,0.88034188,1,0.598290598,0.683760684,0.931623932,0.743589744,0.854700855,0.726495726,0.042735043,0.752136752,0.871794872,0.11965812,0.871794872,0.615384615,0.726495726,0.794871795,0.957264957,0.897435897,0.837606838,0.803418803,0.760683761,0.854700855,0.803418803,0.888888889,0.914529915,0.811965812,0.752136752,0.94017094,0.64957265,0.965811966,0.897435897,0.794871795,0.829059829,0.769230769,0.914529915,0.837606838,0.35042735,0.914529915,0.658119658,0.786324786,0.888888889,0.905982906,0.965811966,0.974358974,0.461538462,0.769230769,0.461538462,0.871794872,0.461538462,0.376068376,0.717948718,0.743589744,0.811965812,0.786324786,0.598290598,0.905982906,0.863247863,0.871794872,0.752136752,0.982905983,0.564102564,0.683760684,0.11965812,0.905982906,0.803418803,0.829059829,0.871794872,0.837606838,0.683760684,0.717948718,0.846153846,0.829059829,0.811965812,0.837606838,0.752136752,0.777777778,0.931623932,0.239316239,0.957264957,0.512820513,0.982905983,0.863247863,0.854700855,0.683760684,0.837606838,0.675213675,0.760683761,0.948717949,0.794871795,0.888888889
AVGO,0.871794872,0.820512821,0.965811966,0.897435897,0.820512821,0.683760684,0.811965812,0.735042735,0.948717949,0.837606838,0.717948718,0.598290598,1,0.914529915,0.666666667,0.854700855,0.743589744,0.871794872,0.444444444,0.846153846,0.726495726,0.521367521,0.726495726,0.982905983,0.871794872,0.803418803,0.555555556,0.700854701,0.760683761,0.794871795,0.837606838,0.743589744,0.794871795,0.709401709,0.683760684,0.786324786,0.846153846,0.658119658,0.948717949,0.632478632,0.700854701,0.803418803,0.769230769,0.829059829,0.683760684,0.760683761,0.752136752,0.683760684,0.94017094,0.811965812,0.709401709,0.692307692,0.564102564,0.623931624,0.863247863,0.829059829,0.863247863,0.726495726,0.863247863,0.777777778,0.88034188,0.854700855,0.786324786,0.811965812,1,0.692307692,0.735042735,0.726495726,0.846153846,0.615384615,0.965811966,0.914529915,0.521367521,0.692307692,0.794871795,0.769230769,0.726495726,0.760683761,0.914529915,0.88034188,0.752136752,0.769230769,0.786324786,0.760683761,0.846153846,0.820512821,0.666666667,0.641025641,0.641025641,0.914529915,0.615384615,0.735042735,0.743589744,0.914529915,0.760683761,0.923076923,0.837606838,0.64957265,0.803418803,0.709401709
BBBY,0.957264957,0.905982906,0.948717949,0.811965812,0.905982906,0.769230769,0.897435897,0.820512821,0.965811966,0.923076923,0.803418803,0.683760684,0.914529915,1,0.752136752,0.94017094,0.829059829,0.957264957,0.358974359,0.931623932,0.811965812,0.435897436,0.811965812,0.931623932,0.957264957,0.888888889,0.641025641,0.786324786,0.846153846,0.88034188,0.923076923,0.829059829,0.88034188,0.794871795,0.769230769,0.871794872,0.931623932,0.743589744,0.965811966,0.717948718,0.786324786,0.888888889,0.854700855,0.914529915,0.769230769,0.846153846,0.666666667,0.769230769,0.974358974,0.897435897,0.794871795,0.777777778,0.64957265,0.709401709,0.777777778,0.914529915,0.777777778,0.811965812,0.777777778,0.692307692,0.965811966,0.94017094,0.871794872,0.897435897,0.914529915,0.777777778,0.820512821,0.811965812,0.931623932,0.700854701,0.88034188,1,0.435897436,0.777777778,0.88034188,0.854700855,0.811965812,0.846153846,1,0.965811966,0.837606838,0.854700855,0.871794872,0.846153846,0.931623932,0.905982906,0.752136752,0.555555556,0.726495726,0.829059829,0.700854701,0.820512821,0.829059829,1,0.846153846,0.991452991,0.923076923,0.735042735,0.888888889,0.794871795
BIDU,0.794871795,0.846153846,0.700854701,0.564102564,0.846153846,0.982905983,0.854700855,0.931623932,0.717948718,0.829059829,0.948717949,0.931623932,0.666666667,0.752136752,1,0.811965812,0.923076923,0.794871795,0.111111111,0.820512821,0.94017094,0.188034188,0.94017094,0.683760684,0.794871795,0.863247863,0.888888889,0.965811966,0.905982906,0.871794872,0.829059829,0.923076923,0.871794872,0.957264957,0.982905983,0.88034188,0.820512821,0.991452991,0.717948718,0.965811966,0.965811966,0.863247863,0.897435897,0.837606838,0.982905983,0.905982906,0.418803419,0.982905983,0.726495726,0.854700855,0.957264957,0.974358974,0.897435897,0.957264957,0.52991453,0.837606838,0.52991453,0.94017094,0.52991453,0.444444444,0.786324786,0.811965812,0.88034188,0.854700855,0.666666667,0.974358974,0.931623932,0.94017094,0.820512821,0.948717949,0.632478632,0.752136752,0.188034188,0.974358974,0.871794872,0.897435897,0.94017094,0.905982906,0.752136752,0.786324786,0.914529915,0.897435897,0.88034188,0.905982906,0.820512821,0.846153846,1,0.307692308,0.974358974,0.581196581,0.948717949,0.931623932,0.923076923,0.752136752,0.905982906,0.743589744,0.829059829,0.982905983,0.863247863,0.957264957
BIIB,0.982905983,0.965811966,0.888888889,0.752136752,0.965811966,0.829059829,0.957264957,0.88034188,0.905982906,0.982905983,0.863247863,0.743589744,0.854700855,0.94017094,0.811965812,1,0.888888889,0.982905983,0.299145299,0.991452991,0.871794872,0.376068376,0.871794872,0.871794872,0.982905983,0.948717949,0.700854701,0.846153846,0.905982906,0.94017094,0.982905983,0.888888889,0.94017094,0.854700855,0.829059829,0.931623932,0.991452991,0.803418803,0.905982906,0.777777778,0.846153846,0.948717949,0.914529915,0.974358974,0.829059829,0.905982906,0.606837607,0.829059829,0.914529915,0.957264957,0.854700855,0.837606838,0.709401709,0.769230769,0.717948718,0.974358974,0.717948718,0.871794872,0.717948718,0.632478632,0.974358974,1,0.931623932,0.957264957,0.854700855,0.837606838,0.88034188,0.871794872,0.991452991,0.760683761,0.820512821,0.94017094,0.376068376,0.837606838,0.94017094,0.914529915,0.871794872,0.905982906,0.94017094,0.974358974,0.897435897,0.914529915,0.931623932,0.905982906,0.991452991,0.965811966,0.811965812,0.495726496,0.786324786,0.769230769,0.760683761,0.88034188,0.888888889,0.94017094,0.905982906,0.931623932,0.982905983,0.794871795,0.948717949,0.854700855
BRCM,0.871794872,0.923076923,0.777777778,0.641025641,0.923076923,0.94017094,0.931623932,0.991452991,0.794871795,0.905982906,0.974358974,0.854700855,0.743589744,0.829059829,0.923076923,0.888888889,1,0.871794872,0.188034188,0.897435897,0.982905983,0.264957265,0.982905983,0.760683761,0.871794872,0.94017094,0.811965812,0.957264957,0.982905983,0.948717949,0.905982906,1,0.948717949,0.965811966,0.94017094,0.957264957,0.897435897,0.914529915,0.794871795,0.888888889,0.957264957,0.94017094,0.974358974,0.914529915,0.94017094,0.982905983,0.495726496,0.94017094,0.803418803,0.931623932,0.965811966,0.948717949,0.820512821,0.88034188,0.606837607,0.914529915,0.606837607,0.982905983,0.606837607,0.521367521,0.863247863,0.888888889,0.957264957,0.931623932,0.743589744,0.948717949,0.991452991,0.982905983,0.897435897,0.871794872,0.709401709,0.829059829,0.264957265,0.948717949,0.948717949,0.974358974,0.982905983,0.982905983,0.829059829,0.863247863,0.991452991,0.974358974,0.957264957,0.982905983,0.897435897,0.923076923,0.923076923,0.384615385,0.897435897,0.658119658,0.871794872,0.991452991,1,0.829059829,0.982905983,0.820512821,0.905982906,0.905982906,0.94017094,0.965811966
CA,1,0.948717949,0.905982906,0.769230769,0.948717949,0.811965812,0.94017094,0.863247863,0.923076923,0.965811966,0.846153846,0.726495726,0.871794872,0.957264957,0.794871795,0.982905983,0.871794872,1,0.316239316,0.974358974,0.854700855,0.393162393,0.854700855,0.888888889,1,0.931623932,0.683760684,0.829059829,0.888888889,0.923076923,0.965811966,0.871794872,0.923076923,0.837606838,0.811965812,0.914529915,0.974358974,0.786324786,0.923076923,0.760683761,0.829059829,0.931623932,0.897435897,0.957264957,0.811965812,0.888888889,0.623931624,0.811965812,0.931623932,0.94017094,0.837606838,0.820512821,0.692307692,0.752136752,0.735042735,0.957264957,0.735042735,0.854700855,0.735042735,0.64957265,0.991452991,0.982905983,0.914529915,0.94017094,0.871794872,0.820512821,0.863247863,0.854700855,0.974358974,0.743589744,0.837606838,0.957264957,0.393162393,0.820512821,0.923076923,0.897435897,0.854700855,0.888888889,0.957264957,0.991452991,0.88034188,0.897435897,0.914529915,0.888888889,0.974358974,0.948717949,0.794871795,0.512820513,0.769230769,0.786324786,0.743589744,0.863247863,0.871794872,0.957264957,0.888888889,0.948717949,0.965811966,0.777777778,0.931623932,0.837606838
CELG,0.316239316,0.264957265,0.41025641,0.547008547,0.264957265,0.128205128,0.256410256,0.179487179,0.393162393,0.282051282,0.162393162,0.042735043,0.444444444,0.358974359,0.111111111,0.299145299,0.188034188,0.316239316,1,0.290598291,0.170940171,0.923076923,0.170940171,0.427350427,0.316239316,0.247863248,0,0.145299145,0.205128205,0.239316239,0.282051282,0.188034188,0.239316239,0.153846154,0.128205128,0.230769231,0.290598291,0.102564103,0.393162393,0.076923077,0.145299145,0.247863248,0.213675214,0.273504274,0.128205128,0.205128205,0.692307692,0.128205128,0.384615385,0.256410256,0.153846154,0.136752137,0.008547009,0.068376068,0.581196581,0.273504274,0.581196581,0.170940171,0.581196581,0.666666667,0.324786325,0.299145299,0.230769231,0.256410256,0.444444444,0.136752137,0.179487179,0.170940171,0.290598291,0.05982906,0.478632479,0.358974359,0.923076923,0.136752137,0.239316239,0.213675214,0.170940171,0.205128205,0.358974359,0.324786325,0.196581197,0.213675214,0.230769231,0.205128205,0.290598291,0.264957265,0.111111111,0.803418803,0.085470085,0.52991453,0.05982906,0.179487179,0.188034188,0.358974359,0.205128205,0.367521368,0.282051282,0.094017094,0.247863248,0.153846154
CERN,0.974358974,0.974358974,0.88034188,0.743589744,0.974358974,0.837606838,0.965811966,0.888888889,0.897435897,0.991452991,0.871794872,0.752136752,0.846153846,0.931623932,0.820512821,0.991452991,0.897435897,0.974358974,0.290598291,1,0.88034188,0.367521368,0.88034188,0.863247863,0.974358974,0.957264957,0.709401709,0.854700855,0.914529915,0.948717949,0.991452991,0.897435897,0.948717949,0.863247863,0.837606838,0.94017094,1,0.811965812,0.897435897,0.786324786,0.854700855,0.957264957,0.923076923,0.982905983,0.837606838,0.914529915,0.598290598,0.837606838,0.905982906,0.965811966,0.863247863,0.846153846,0.717948718,0.777777778,0.709401709,0.982905983,0.709401709,0.88034188,0.709401709,0.623931624,0.965811966,0.991452991,0.94017094,0.965811966,0.846153846,0.846153846,0.888888889,0.88034188,1,0.769230769,0.811965812,0.931623932,0.367521368,0.846153846,0.948717949,0.923076923,0.88034188,0.914529915,0.931623932,0.965811966,0.905982906,0.923076923,0.94017094,0.914529915,1,0.974358974,0.820512821,0.487179487,0.794871795,0.760683761,0.769230769,0.888888889,0.897435897,0.931623932,0.914529915,0.923076923,0.991452991,0.803418803,0.957264957,0.863247863
