,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BRCM,CA,CELG,CERN,CHKP,CHRW,CHTR,CMCSA,COST,CSCO,CTRX,CTSH,CTXS,DISCA,DISH,DLTR,DTV,EBAY,EQIX,ESRX,EXPD,EXPE,FAST,FB,FFIV,FISV,GILD,GMCR,GOOG,GRMN,HSIC,ILMN,INTC,INTU,ISRG,KLAC,KRFT,LBTYA,LINTA,LLTC,LMCA,MAR,MAT,MNST,MSFT,MU,MWW,MXIM,MYL,NFLX,NTAP,NVDA,NWSA,NXPI,ORLY,PAYX,PCAR,PCLN,QCOM,REGN,ROST,SBAC,SBUX,SIAL,SIRI,SNDK,SPLS,SRCL,STX,SYMC,TRIP,TSCO,TSLA,TXN,VIAB,VIP,VOD,VRSK,VRTX,WDC,WFM,WYNN,XLNX,YHOO
CHKP,0.854700855,0.905982906,0.760683761,0.623931624,0.905982906,0.957264957,0.914529915,0.991452991,0.777777778,0.888888889,0.991452991,0.871794872,0.726495726,0.811965812,0.94017094,0.871794872,0.982905983,0.854700855,0.170940171,0.88034188,1,0.247863248,1,0.743589744,0.854700855,0.923076923,0.829059829,0.974358974,0.965811966,0.931623932,0.888888889,0.982905983,0.931623932,0.982905983,0.957264957,0.94017094,0.88034188,0.931623932,0.777777778,0.905982906,0.974358974,0.923076923,0.957264957,0.897435897,0.957264957,0.965811966,0.478632479,0.957264957,0.786324786,0.914529915,0.982905983,0.965811966,0.837606838,0.897435897,0.58974359,0.897435897,0.58974359,1,0.58974359,0.504273504,0.846153846,0.871794872,0.94017094,0.914529915,0.726495726,0.965811966,0.991452991,1,0.88034188,0.888888889,0.692307692,0.811965812,0.247863248,0.965811966,0.931623932,0.957264957,1,0.965811966,0.811965812,0.846153846,0.974358974,0.957264957,0.94017094,0.965811966,0.88034188,0.905982906,0.94017094,0.367521368,0.914529915,0.641025641,0.888888889,0.991452991,0.982905983,0.811965812,0.965811966,0.803418803,0.888888889,0.923076923,0.923076923,0.982905983
CHRW,0.393162393,0.341880342,0.487179487,0.623931624,0.341880342,0.205128205,0.333333333,0.256410256,0.47008547,0.358974359,0.239316239,0.11965812,0.521367521,0.435897436,0.188034188,0.376068376,0.264957265,0.393162393,0.923076923,0.367521368,0.247863248,1,0.247863248,0.504273504,0.393162393,0.324786325,0.076923077,0.222222222,0.282051282,0.316239316,0.358974359,0.264957265,0.316239316,0.230769231,0.205128205,0.307692308,0.367521368,0.179487179,0.47008547,0.153846154,0.222222222,0.324786325,0.290598291,0.35042735,0.205128205,0.282051282,0.769230769,0.205128205,0.461538462,0.333333333,0.230769231,0.213675214,0.085470085,0.145299145,0.658119658,0.35042735,0.658119658,0.247863248,0.658119658,0.743589744,0.401709402,0.376068376,0.307692308,0.333333333,0.521367521,0.213675214,0.256410256,0.247863248,0.367521368,0.136752137,0.555555556,0.435897436,1,0.213675214,0.316239316,0.290598291,0.247863248,0.282051282,0.435897436,0.401709402,0.273504274,0.290598291,0.307692308,0.282051282,0.367521368,0.341880342,0.188034188,0.88034188,0.162393162,0.606837607,0.136752137,0.256410256,0.264957265,0.435897436,0.282051282,0.444444444,0.358974359,0.170940171,0.324786325,0.230769231
CHTR,0.854700855,0.905982906,0.760683761,0.623931624,0.905982906,0.957264957,0.914529915,0.991452991,0.777777778,0.888888889,0.991452991,0.871794872,0.726495726,0.811965812,0.94017094,0.871794872,0.982905983,0.854700855,0.170940171,0.88034188,1,0.247863248,1,0.743589744,0.854700855,0.923076923,0.829059829,0.974358974,0.965811966,0.931623932,0.888888889,0.982905983,0.931623932,0.982905983,0.957264957,0.94017094,0.88034188,0.931623932,0.777777778,0.905982906,0.974358974,0.923076923,0.957264957,0.897435897,0.957264957,0.965811966,0.478632479,0.957264957,0.786324786,0.914529915,0.982905983,0.965811966,0.837606838,0.897435897,0.58974359,0.897435897,0.58974359,1,0.58974359,0.504273504,0.846153846,0.871794872,0.94017094,0.914529915,0.726495726,0.965811966,0.991452991,1,0.88034188,0.888888889,0.692307692,0.811965812,0.247863248,0.965811966,0.931623932,0.957264957,1,0.965811966,0.811965812,0.846153846,0.974358974,0.957264957,0.94017094,0.965811966,0.88034188,0.905982906,0.94017094,0.367521368,0.914529915,0.641025641,0.888888889,0.991452991,0.982905983,0.811965812,0.965811966,0.803418803,0.888888889,0.923076923,0.923076923,0.982905983
CMCSA,0.888888889,0.837606838,0.982905983,0.88034188,0.837606838,0.700854701,0.829059829,0.752136752,0.965811966,0.854700855,0.735042735,0.615384615,0.982905983,0.931623932,0.683760684,0.871794872,0.760683761,0.888888889,0.427350427,0.863247863,0.743589744,0.504273504,0.743589744,1,0.888888889,0.820512821,0.572649573,0.717948718,0.777777778,0.811965812,0.854700855,0.760683761,0.811965812,0.726495726,0.700854701,0.803418803,0.863247863,0.675213675,0.965811966,0.64957265,0.717948718,0.820512821,0.786324786,0.846153846,0.700854701,0.777777778,0.735042735,0.700854701,0.957264957,0.829059829,0.726495726,0.709401709,0.581196581,0.641025641,0.846153846,0.846153846,0.846153846,0.743589744,0.846153846,0.760683761,0.897435897,0.871794872,0.803418803,0.829059829,0.982905983,0.709401709,0.752136752,0.743589744,0.863247863,0.632478632,0.948717949,0.931623932,0.504273504,0.709401709,0.811965812,0.786324786,0.743589744,0.777777778,0.931623932,0.897435897,0.769230769,0.786324786,0.803418803,0.777777778,0.863247863,0.837606838,0.683760684,0.623931624,0.658119658,0.897435897,0.632478632,0.752136752,0.760683761,0.931623932,0.777777778,0.94017094,0.854700855,0.666666667,0.820512821,0.726495726
COST,1,0.948717949,0.905982906,0.769230769,0.948717949,0.811965812,0.94017094,0.863247863,0.923076923,0.965811966,0.846153846,0.726495726,0.871794872,0.957264957,0.794871795,0.982905983,0.871794872,1,0.316239316,0.974358974,0.854700855,0.393162393,0.854700855,0.888888889,1,0.931623932,0.683760684,0.829059829,0.888888889,0.923076923,0.965811966,0.871794872,0.923076923,0.837606838,0.811965812,0.914529915,0.974358974,0.786324786,0.923076923,0.760683761,0.829059829,0.931623932,0.897435897,0.957264957,0.811965812,0.888888889,0.623931624,0.811965812,0.931623932,0.94017094,0.837606838,0.820512821,0.692307692,0.752136752,0.735042735,0.957264957,0.735042735,0.854700855,0.735042735,0.64957265,0.991452991,0.982905983,0.914529915,0.94017094,0.871794872,0.820512821,0.863247863,0.854700855,0.974358974,0.743589744,0.837606838,0.957264957,0.393162393,0.820512821,0.923076923,0.897435897,0.854700855,0.888888889,0.957264957,0.991452991,0.88034188,0.897435897,0.914529915,0.888888889,0.974358974,0.948717949,0.794871795,0.512820513,0.769230769,0.786324786,0.743589744,0.863247863,0.871794872,0.957264957,0.888888889,0.948717949,0.965811966,0.777777778,0.931623932,0.837606838
CSCO,0.931623932,0.982905983,0.837606838,0.700854701,0.982905983,0.88034188,0.991452991,0.931623932,0.854700855,0.965811966,0.914529915,0.794871795,0.803418803,0.888888889,0.863247863,0.948717949,0.94017094,0.931623932,0.247863248,0.957264957,0.923076923,0.324786325,0.923076923,0.820512821,0.931623932,1,0.752136752,0.897435897,0.957264957,0.991452991,0.965811966,0.94017094,0.991452991,0.905982906,0.88034188,0.982905983,0.957264957,0.854700855,0.854700855,0.829059829,0.897435897,1,0.965811966,0.974358974,0.88034188,0.957264957,0.555555556,0.88034188,0.863247863,0.991452991,0.905982906,0.888888889,0.760683761,0.820512821,0.666666667,0.974358974,0.666666667,0.923076923,0.666666667,0.581196581,0.923076923,0.948717949,0.982905983,0.991452991,0.803418803,0.888888889,0.931623932,0.923076923,0.957264957,0.811965812,0.769230769,0.888888889,0.324786325,0.888888889,0.991452991,0.965811966,0.923076923,0.957264957,0.888888889,0.923076923,0.948717949,0.965811966,0.982905983,0.957264957,0.957264957,0.982905983,0.863247863,0.444444444,0.837606838,0.717948718,0.811965812,0.931623932,0.94017094,0.888888889,0.957264957,0.88034188,0.965811966,0.846153846,1,0.905982906
CTRX,0.683760684,0.735042735,0.58974359,0.452991453,0.735042735,0.871794872,0.743589744,0.820512821,0.606837607,0.717948718,0.837606838,0.957264957,0.555555556,0.641025641,0.888888889,0.700854701,0.811965812,0.683760684,0,0.709401709,0.829059829,0.076923077,0.829059829,0.572649573,0.683760684,0.752136752,1,0.854700855,0.794871795,0.760683761,0.717948718,0.811965812,0.760683761,0.846153846,0.871794872,0.769230769,0.709401709,0.897435897,0.606837607,0.923076923,0.854700855,0.752136752,0.786324786,0.726495726,0.871794872,0.794871795,0.307692308,0.871794872,0.615384615,0.743589744,0.846153846,0.863247863,0.991452991,0.931623932,0.418803419,0.726495726,0.418803419,0.829059829,0.418803419,0.333333333,0.675213675,0.700854701,0.769230769,0.743589744,0.555555556,0.863247863,0.820512821,0.829059829,0.709401709,0.94017094,0.521367521,0.641025641,0.076923077,0.863247863,0.760683761,0.786324786,0.829059829,0.794871795,0.641025641,0.675213675,0.803418803,0.786324786,0.769230769,0.794871795,0.709401709,0.735042735,0.888888889,0.196581197,0.914529915,0.47008547,0.94017094,0.820512821,0.811965812,0.641025641,0.794871795,0.632478632,0.717948718,0.905982906,0.752136752,0.846153846
CTSH,0.829059829,0.88034188,0.735042735,0.598290598,0.88034188,0.982905983,0.888888889,0.965811966,0.752136752,0.863247863,0.982905983,0.897435897,0.700854701,0.786324786,0.965811966,0.846153846,0.957264957,0.829059829,0.145299145,0.854700855,0.974358974,0.222222222,0.974358974,0.717948718,0.829059829,0.897435897,0.854700855,1,0.94017094,0.905982906,0.863247863,0.957264957,0.905982906,0.991452991,0.982905983,0.914529915,0.854700855,0.957264957,0.752136752,0.931623932,1,0.897435897,0.931623932,0.871794872,0.982905983,0.94017094,0.452991453,0.982905983,0.760683761,0.888888889,0.991452991,0.991452991,0.863247863,0.923076923,0.564102564,0.871794872,0.564102564,0.974358974,0.564102564,0.478632479,0.820512821,0.846153846,0.914529915,0.888888889,0.700854701,0.991452991,0.965811966,0.974358974,0.854700855,0.914529915,0.666666667,0.786324786,0.222222222,0.991452991,0.905982906,0.931623932,0.974358974,0.94017094,0.786324786,0.820512821,0.948717949,0.931623932,0.914529915,0.94017094,0.854700855,0.88034188,0.965811966,0.341880342,0.94017094,0.615384615,0.914529915,0.965811966,0.957264957,0.786324786,0.94017094,0.777777778,0.863247863,0.948717949,0.897435897,0.991452991
CTXS,0.888888889,0.94017094,0.794871795,0.658119658,0.94017094,0.923076923,0.948717949,0.974358974,0.811965812,0.923076923,0.957264957,0.837606838,0.760683761,0.846153846,0.905982906,0.905982906,0.982905983,0.888888889,0.205128205,0.914529915,0.965811966,0.282051282,0.965811966,0.777777778,0.888888889,0.957264957,0.794871795,0.94017094,1,0.965811966,0.923076923,0.982905983,0.965811966,0.948717949,0.923076923,0.974358974,0.914529915,0.897435897,0.811965812,0.871794872,0.94017094,0.957264957,0.991452991,0.931623932,0.923076923,1,0.512820513,0.923076923,0.820512821,0.948717949,0.948717949,0.931623932,0.803418803,0.863247863,0.623931624,0.931623932,0.623931624,0.965811966,0.623931624,0.538461538,0.88034188,0.905982906,0.974358974,0.948717949,0.760683761,0.931623932,0.974358974,0.965811966,0.914529915,0.854700855,0.726495726,0.846153846,0.282051282,0.931623932,0.965811966,0.991452991,0.965811966,1,0.846153846,0.88034188,0.991452991,0.991452991,0.974358974,1,0.914529915,0.94017094,0.905982906,0.401709402,0.88034188,0.675213675,0.854700855,0.974358974,0.982905983,0.846153846,1,0.837606838,0.923076923,0.888888889,0.957264957,0.948717949
DISCA,0.923076923,0.974358974,0.829059829,0.692307692,0.974358974,0.888888889,0.982905983,0.94017094,0.846153846,0.957264957,0.923076923,0.803418803,0.794871795,0.88034188,0.871794872,0.94017094,0.948717949,0.923076923,0.239316239,0.948717949,0.931623932,0.316239316,0.931623932,0.811965812,0.923076923,0.991452991,0.760683761,0.905982906,0.965811966,1,0.957264957,0.948717949,1,0.914529915,0.888888889,0.991452991,0.948717949,0.863247863,0.846153846,0.837606838,0.905982906,0.991452991,0.974358974,0.965811966,0.888888889,0.965811966,0.547008547,0.888888889,0.854700855,0.982905983,0.914529915,0.897435897,0.769230769,0.829059829,0.658119658,0.965811966,0.658119658,0.931623932,0.658119658,0.572649573,0.914529915,0.94017094,0.991452991,0.982905983,0.794871795,0.897435897,0.94017094,0.931623932,0.948717949,0.820512821,0.760683761,0.88034188,0.316239316,0.897435897,1,0.974358974,0.931623932,0.965811966,0.88034188,0.914529915,0.957264957,0.974358974,0.991452991,0.965811966,0.948717949,0.974358974,0.871794872,0.435897436,0.846153846,0.709401709,0.820512821,0.94017094,0.948717949,0.88034188,0.965811966,0.871794872,0.957264957,0.854700855,0.991452991,0.914529915
DISH,0.965811966,0.982905983,0.871794872,0.735042735,0.982905983,0.846153846,0.974358974,0.897435897,0.888888889,1,0.88034188,0.760683761,0.837606838,0.923076923,0.829059829,0.982905983,0.905982906,0.965811966,0.282051282,0.991452991,0.888888889,0.358974359,0.888888889,0.854700855,0.965811966,0.965811966,0.717948718,0.863247863,0.923076923,0.957264957,1,0.905982906,0.957264957,0.871794872,0.846153846,0.948717949,0.991452991,0.820512821,0.888888889,0.794871795,0.863247863,0.965811966,0.931623932,0.991452991,0.846153846,0.923076923,0.58974359,0.846153846,0.897435897,0.974358974,0.871794872,0.854700855,0.726495726,0.786324786,0.700854701,0.991452991,0.700854701,0.888888889,0.700854701,0.615384615,0.957264957,0.982905983,0.948717949,0.974358974,0.837606838,0.854700855,0.897435897,0.888888889,0.991452991,0.777777778,0.803418803,0.923076923,0.358974359,0.854700855,0.957264957,0.931623932,0.888888889,0.923076923,0.923076923,0.957264957,0.914529915,0.931623932,0.948717949,0.923076923,0.991452991,0.982905983,0.829059829,0.478632479,0.803418803,0.752136752,0.777777778,0.897435897,0.905982906,0.923076923,0.923076923,0.914529915,1,0.811965812,0.965811966,0.871794872
DLTR,0.871794872,0.923076923,0.777777778,0.641025641,0.923076923,0.94017094,0.931623932,0.991452991,0.794871795,0.905982906,0.974358974,0.854700855,0.743589744,0.829059829,0.923076923,0.888888889,1,0.871794872,0.188034188,0.897435897,0.982905983,0.264957265,0.982905983,0.760683761,0.871794872,0.94017094,0.811965812,0.957264957,0.982905983,0.948717949,0.905982906,1,0.948717949,0.965811966,0.94017094,0.957264957,0.897435897,0.914529915,0.794871795,0.888888889,0.957264957,0.94017094,0.974358974,0.914529915,0.94017094,0.982905983,0.495726496,0.94017094,0.803418803,0.931623932,0.965811966,0.948717949,0.820512821,0.88034188,0.606837607,0.914529915,0.606837607,0.982905983,0.606837607,0.521367521,0.863247863,0.888888889,0.957264957,0.931623932,0.743589744,0.948717949,0.991452991,0.982905983,0.897435897,0.871794872,0.709401709,0.829059829,0.264957265,0.948717949,0.948717949,0.974358974,0.982905983,0.982905983,0.829059829,0.863247863,0.991452991,0.974358974,0.957264957,0.982905983,0.897435897,0.923076923,0.923076923,0.384615385,0.897435897,0.658119658,0.871794872,0.991452991,1,0.829059829,0.982905983,0.820512821,0.905982906,0.905982906,0.94017094,0.965811966
DTV,0.923076923,0.974358974,0.829059829,0.692307692,0.974358974,0.888888889,0.982905983,0.94017094,0.846153846,0.957264957,0.923076923,0.803418803,0.794871795,0.88034188,0.871794872,0.94017094,0.948717949,0.923076923,0.239316239,0.948717949,0.931623932,0.316239316,0.931623932,0.811965812,0.923076923,0.991452991,0.760683761,0.905982906,0.965811966,1,0.957264957,0.948717949,1,0.914529915,0.888888889,0.991452991,0.948717949,0.863247863,0.846153846,0.837606838,0.905982906,0.991452991,0.974358974,0.965811966,0.888888889,0.965811966,0.547008547,0.888888889,0.854700855,0.982905983,0.914529915,0.897435897,0.769230769,0.829059829,0.658119658,0.965811966,0.658119658,0.931623932,0.658119658,0.572649573,0.914529915,0.94017094,0.991452991,0.982905983,0.794871795,0.897435897,0.94017094,0.931623932,0.948717949,0.820512821,0.760683761,0.88034188,0.316239316,0.897435897,1,0.974358974,0.931623932,0.965811966,0.88034188,0.914529915,0.957264957,0.974358974,0.991452991,0.965811966,0.948717949,0.974358974,0.871794872,0.435897436,0.846153846,0.709401709,0.820512821,0.94017094,0.948717949,0.88034188,0.965811966,0.871794872,0.957264957,0.854700855,0.991452991,0.914529915
EBAY,0.837606838,0.888888889,0.743589744,0.606837607,0.888888889,0.974358974,0.897435897,0.974358974,0.760683761,0.871794872,0.991452991,0.888888889,0.709401709,0.794871795,0.957264957,0.854700855,0.965811966,0.837606838,0.153846154,0.863247863,0.982905983,0.230769231,0.982905983,0.726495726,0.837606838,0.905982906,0.846153846,0.991452991,0.948717949,0.914529915,0.871794872,0.965811966,0.914529915,1,0.974358974,0.923076923,0.863247863,0.948717949,0.760683761,0.923076923,0.991452991,0.905982906,0.94017094,0.88034188,0.974358974,0.948717949,0.461538462,0.974358974,0.769230769,0.897435897,1,0.982905983,0.854700855,0.914529915,0.572649573,0.88034188,0.572649573,0.982905983,0.572649573,0.487179487,0.829059829,0.854700855,0.923076923,0.897435897,0.709401709,0.982905983,0.974358974,0.982905983,0.863247863,0.905982906,0.675213675,0.794871795,0.230769231,0.982905983,0.914529915,0.94017094,0.982905983,0.948717949,0.794871795,0.829059829,0.957264957,0.94017094,0.923076923,0.948717949,0.863247863,0.888888889,0.957264957,0.35042735,0.931623932,0.623931624,0.905982906,0.974358974,0.965811966,0.794871795,0.948717949,0.786324786,0.871794872,0.94017094,0.905982906,1
EQIX,0.811965812,0.863247863,0.717948718,0.581196581,0.863247863,1,0.871794872,0.948717949,0.735042735,0.846153846,0.965811966,0.914529915,0.683760684,0.769230769,0.982905983,0.829059829,0.94017094,0.811965812,0.128205128,0.837606838,0.957264957,0.205128205,0.957264957,0.700854701,0.811965812,0.88034188,0.871794872,0.982905983,0.923076923,0.888888889,0.846153846,0.94017094,0.888888889,0.974358974,1,0.897435897,0.837606838,0.974358974,0.735042735,0.948717949,0.982905983,0.88034188,0.914529915,0.854700855,1,0.923076923,0.435897436,1,0.743589744,0.871794872,0.974358974,0.991452991,0.88034188,0.94017094,0.547008547,0.854700855,0.547008547,0.957264957,0.547008547,0.461538462,0.803418803,0.829059829,0.897435897,0.871794872,0.683760684,0.991452991,0.948717949,0.957264957,0.837606838,0.931623932,0.64957265,0.769230769,0.205128205,0.991452991,0.888888889,0.914529915,0.957264957,0.923076923,0.769230769,0.803418803,0.931623932,0.914529915,0.897435897,0.923076923,0.837606838,0.863247863,0.982905983,0.324786325,0.957264957,0.598290598,0.931623932,0.948717949,0.94017094,0.769230769,0.923076923,0.760683761,0.846153846,0.965811966,0.88034188,0.974358974
ESRX,0.914529915,0.965811966,0.820512821,0.683760684,0.965811966,0.897435897,0.974358974,0.948717949,0.837606838,0.948717949,0.931623932,0.811965812,0.786324786,0.871794872,0.88034188,0.931623932,0.957264957,0.914529915,0.230769231,0.94017094,0.94017094,0.307692308,0.94017094,0.803418803,0.914529915,0.982905983,0.769230769,0.914529915,0.974358974,0.991452991,0.948717949,0.957264957,0.991452991,0.923076923,0.897435897,1,0.94017094,0.871794872,0.837606838,0.846153846,0.914529915,0.982905983,0.982905983,0.957264957,0.897435897,0.974358974,0.538461538,0.897435897,0.846153846,0.974358974,0.923076923,0.905982906,0.777777778,0.837606838,0.64957265,0.957264957,0.64957265,0.94017094,0.64957265,0.564102564,0.905982906,0.931623932,1,0.974358974,0.786324786,0.905982906,0.948717949,0.94017094,0.94017094,0.829059829,0.752136752,0.871794872,0.307692308,0.905982906,0.991452991,0.982905983,0.94017094,0.974358974,0.871794872,0.905982906,0.965811966,0.982905983,1,0.974358974,0.94017094,0.965811966,0.88034188,0.427350427,0.854700855,0.700854701,0.829059829,0.948717949,0.957264957,0.871794872,0.974358974,0.863247863,0.948717949,0.863247863,0.982905983,0.923076923
EXPD,0.974358974,0.974358974,0.88034188,0.743589744,0.974358974,0.837606838,0.965811966,0.888888889,0.897435897,0.991452991,0.871794872,0.752136752,0.846153846,0.931623932,0.820512821,0.991452991,0.897435897,0.974358974,0.290598291,1,0.88034188,0.367521368,0.88034188,0.863247863,0.974358974,0.957264957,0.709401709,0.854700855,0.914529915,0.948717949,0.991452991,0.897435897,0.948717949,0.863247863,0.837606838,0.94017094,1,0.811965812,0.897435897,0.786324786,0.854700855,0.957264957,0.923076923,0.982905983,0.837606838,0.914529915,0.598290598,0.837606838,0.905982906,0.965811966,0.863247863,0.846153846,0.717948718,0.777777778,0.709401709,0.982905983,0.709401709,0.88034188,0.709401709,0.623931624,0.965811966,0.991452991,0.94017094,0.965811966,0.846153846,0.846153846,0.888888889,0.88034188,1,0.769230769,0.811965812,0.931623932,0.367521368,0.846153846,0.948717949,0.923076923,0.88034188,0.914529915,0.931623932,0.965811966,0.905982906,0.923076923,0.94017094,0.914529915,1,0.974358974,0.820512821,0.487179487,0.794871795,0.760683761,0.769230769,0.888888889,0.897435897,0.931623932,0.914529915,0.923076923,0.991452991,0.803418803,0.957264957,0.863247863
EXPE,0.786324786,0.837606838,0.692307692,0.555555556,0.837606838,0.974358974,0.846153846,0.923076923,0.709401709,0.820512821,0.94017094,0.94017094,0.658119658,0.743589744,0.991452991,0.803418803,0.914529915,0.786324786,0.102564103,0.811965812,0.931623932,0.179487179,0.931623932,0.675213675,0.786324786,0.854700855,0.897435897,0.957264957,0.897435897,0.863247863,0.820512821,0.914529915,0.863247863,0.948717949,0.974358974,0.871794872,0.811965812,1,0.709401709,0.974358974,0.957264957,0.854700855,0.888888889,0.829059829,0.974358974,0.897435897,0.41025641,0.974358974,0.717948718,0.846153846,0.948717949,0.965811966,0.905982906,0.965811966,0.521367521,0.829059829,0.521367521,0.931623932,0.521367521,0.435897436,0.777777778,0.803418803,0.871794872,0.846153846,0.658119658,0.965811966,0.923076923,0.931623932,0.811965812,0.957264957,0.623931624,0.743589744,0.179487179,0.965811966,0.863247863,0.888888889,0.931623932,0.897435897,0.743589744,0.777777778,0.905982906,0.888888889,0.871794872,0.897435897,0.811965812,0.837606838,0.991452991,0.299145299,0.982905983,0.572649573,0.957264957,0.923076923,0.914529915,0.743589744,0.897435897,0.735042735,0.820512821,0.991452991,0.854700855,0.948717949
FAST,0.923076923,0.871794872,0.982905983,0.846153846,0.871794872,0.735042735,0.863247863,0.786324786,1,0.888888889,0.769230769,0.64957265,0.948717949,0.965811966,0.717948718,0.905982906,0.794871795,0.923076923,0.393162393,0.897435897,0.777777778,0.47008547,0.777777778,0.965811966,0.923076923,0.854700855,0.606837607,0.752136752,0.811965812,0.846153846,0.888888889,0.794871795,0.846153846,0.760683761,0.735042735,0.837606838,0.897435897,0.709401709,1,0.683760684,0.752136752,0.854700855,0.820512821,0.88034188,0.735042735,0.811965812,0.700854701,0.735042735,0.991452991,0.863247863,0.760683761,0.743589744,0.615384615,0.675213675,0.811965812,0.88034188,0.811965812,0.777777778,0.811965812,0.726495726,0.931623932,0.905982906,0.837606838,0.863247863,0.948717949,0.743589744,0.786324786,0.777777778,0.897435897,0.666666667,0.914529915,0.965811966,0.47008547,0.743589744,0.846153846,0.820512821,0.777777778,0.811965812,0.965811966,0.931623932,0.803418803,0.820512821,0.837606838,0.811965812,0.897435897,0.871794872,0.717948718,0.58974359,0.692307692,0.863247863,0.666666667,0.786324786,0.794871795,0.965811966,0.811965812,0.974358974,0.888888889,0.700854701,0.854700855,0.760683761
FB,0.760683761,0.811965812,0.666666667,0.52991453,0.811965812,0.948717949,0.820512821,0.897435897,0.683760684,0.794871795,0.914529915,0.965811966,0.632478632,0.717948718,0.965811966,0.777777778,0.888888889,0.760683761,0.076923077,0.786324786,0.905982906,0.153846154,0.905982906,0.64957265,0.760683761,0.829059829,0.923076923,0.931623932,0.871794872,0.837606838,0.794871795,0.888888889,0.837606838,0.923076923,0.948717949,0.846153846,0.786324786,0.974358974,0.683760684,1,0.931623932,0.829059829,0.863247863,0.803418803,0.948717949,0.871794872,0.384615385,0.948717949,0.692307692,0.820512821,0.923076923,0.94017094,0.931623932,0.991452991,0.495726496,0.803418803,0.495726496,0.905982906,0.495726496,0.41025641,0.752136752,0.777777778,0.846153846,0.820512821,0.632478632,0.94017094,0.897435897,0.905982906,0.786324786,0.982905983,0.598290598,0.717948718,0.153846154,0.94017094,0.837606838,0.863247863,0.905982906,0.871794872,0.717948718,0.752136752,0.88034188,0.863247863,0.846153846,0.871794872,0.786324786,0.811965812,0.965811966,0.273504274,0.991452991,0.547008547,0.982905983,0.897435897,0.888888889,0.717948718,0.871794872,0.709401709,0.794871795,0.982905983,0.829059829,0.923076923
FFIV,0.829059829,0.88034188,0.735042735,0.598290598,0.88034188,0.982905983,0.888888889,0.965811966,0.752136752,0.863247863,0.982905983,0.897435897,0.700854701,0.786324786,0.965811966,0.846153846,0.957264957,0.829059829,0.145299145,0.854700855,0.974358974,0.222222222,0.974358974,0.717948718,0.829059829,0.897435897,0.854700855,1,0.94017094,0.905982906,0.863247863,0.957264957,0.905982906,0.991452991,0.982905983,0.914529915,0.854700855,0.957264957,0.752136752,0.931623932,1,0.897435897,0.931623932,0.871794872,0.982905983,0.94017094,0.452991453,0.982905983,0.760683761,0.888888889,0.991452991,0.991452991,0.863247863,0.923076923,0.564102564,0.871794872,0.564102564,0.974358974,0.564102564,0.478632479,0.820512821,0.846153846,0.914529915,0.888888889,0.700854701,0.991452991,0.965811966,0.974358974,0.854700855,0.914529915,0.666666667,0.786324786,0.222222222,0.991452991,0.905982906,0.931623932,0.974358974,0.94017094,0.786324786,0.820512821,0.948717949,0.931623932,0.914529915,0.94017094,0.854700855,0.88034188,0.965811966,0.341880342,0.94017094,0.615384615,0.914529915,0.965811966,0.957264957,0.786324786,0.94017094,0.777777778,0.863247863,0.948717949,0.897435897,0.991452991
FISV,0.931623932,0.982905983,0.837606838,0.700854701,0.982905983,0.88034188,0.991452991,0.931623932,0.854700855,0.965811966,0.914529915,0.794871795,0.803418803,0.888888889,0.863247863,0.948717949,0.94017094,0.931623932,0.247863248,0.957264957,0.923076923,0.324786325,0.923076923,0.820512821,0.931623932,1,0.752136752,0.897435897,0.957264957,0.991452991,0.965811966,0.94017094,0.991452991,0.905982906,0.88034188,0.982905983,0.957264957,0.854700855,0.854700855,0.829059829,0.897435897,1,0.965811966,0.974358974,0.88034188,0.957264957,0.555555556,0.88034188,0.863247863,0.991452991,0.905982906,0.888888889,0.760683761,0.820512821,0.666666667,0.974358974,0.666666667,0.923076923,0.666666667,0.581196581,0.923076923,0.948717949,0.982905983,0.991452991,0.803418803,0.888888889,0.931623932,0.923076923,0.957264957,0.811965812,0.769230769,0.888888889,0.324786325,0.888888889,0.991452991,0.965811966,0.923076923,0.957264957,0.888888889,0.923076923,0.948717949,0.965811966,0.982905983,0.957264957,0.957264957,0.982905983,0.863247863,0.444444444,0.837606838,0.717948718,0.811965812,0.931623932,0.94017094,0.888888889,0.957264957,0.88034188,0.965811966,0.846153846,1,0.905982906
